sample,Gene,Z-score,group,replicate
P_3,A1bg,0.5454877553324162,Posterior,3
S_1,A1bg,-1.131688451461771,Somite,1
S_2,A1bg,0.5083810889438173,Somite,2
S_3,A1bg,0.2783168889028901,Somite,3
A_1,A1E2B8,0.1089524502950311,Anterior,1
A_2,A1E2B8,1.8757859144531173,Anterior,2
A_3,A1E2B8,0.0520531447204631,Anterior,3
P_1,A1E2B8,-0.5921672959829885,Posterior,1
P_2,A1E2B8,-0.677587590627716,Posterior,2
P_3,A1E2B8,0.0706260114859784,Posterior,3
S_1,A1E2B8,1.436494854868518,Somite,1
S_2,A1E2B8,-1.1006209402167295,Somite,2
S_3,A1E2B8,-1.173536548995608,Somite,3
A_1,A1E5T5,1.386636375943493,Anterior,1
A_2,A1E5T5,0.527396149396582,Anterior,2
A_3,A1E5T5,-0.0708895652397274,Anterior,3
P_1,A1E5T5,0.6079833979091603,Posterior,1
P_2,A1E5T5,0.36605124754433,Posterior,2
P_3,A1E5T5,1.0835337415863993,Posterior,3
S_1,A1E5T5,-1.4094389317531533,Somite,1
S_2,A1E5T5,-1.1302074228126529,Somite,2
S_3,A1E5T5,-1.361064992574431,Somite,3
A_1,A2AIX1,0.5014972132034017,Anterior,1
A_2,A2AIX1,-0.470433451059179,Anterior,2
A_3,A2AIX1,-1.1652459613733268,Anterior,3
P_1,A2AIX1,0.4765992263115211,Posterior,1
P_2,A2AIX1,1.906723520312448,Posterior,2
P_3,A2AIX1,1.0049128943975454,Posterior,3
S_1,A2AIX1,-0.9385951735916443,Somite,1
S_2,A2AIX1,-1.1824325286189592,Somite,2
S_3,A2AIX1,-0.1330257395818064,Somite,3
A_1,A2BIE1,0.7101137958299492,Anterior,1
A_2,A2BIE1,-0.4621598425303615,Anterior,2
A_3,A2BIE1,0.3574319027306301,Anterior,3
P_1,A2BIE1,1.9119149858507196,Posterior,1
P_2,A2BIE1,-0.0804384637054195,Posterior,2
P_3,A2BIE1,0.4031764391804986,Posterior,3
S_1,A2BIE1,-0.4183466391712119,Somite,1
S_2,A2BIE1,-1.992715067155176,Somite,2
S_3,A2BIE1,-0.4289771110297592,Somite,3
A_1,A2m,-1.781259050745866,Anterior,1
A_2,A2m,0.7396477018707289,Anterior,2
A_3,A2m,-0.7069808546577062,Anterior,3
P_1,A2m,-0.3216500829522477,Posterior,1
P_2,A2m,1.869981478134372,Posterior,2
P_3,A2m,0.5988917427688872,Posterior,3
S_1,A2m,-0.7932945686644797,Somite,1
S_2,A2m,0.4361400599084239,Somite,2
S_3,A2m,-0.0414764256621128,Somite,3
A_1,A2RSX9,0.2860862173606108,Anterior,1
A_2,A2RSX9,-0.2581761731202971,Anterior,2
A_3,A2RSX9,-1.3036201749687553,Anterior,3
P_1,A2RSX9,2.337884868006433,Posterior,1
P_2,A2RSX9,0.7912675520982588,Posterior,2
P_3,A2RSX9,-0.2915766604895175,Posterior,3
S_1,A2RSX9,-0.193917831201726,Somite,1
S_2,A2RSX9,-0.6523311948593676,Somite,2
S_3,A2RSX9,-0.7156166028257093,Somite,3
A_1,Aaas,0.4433373014978493,Anterior,1
A_2,Aaas,0.7784432628092934,Anterior,2
A_3,Aaas,0.659638847947996,Anterior,3
P_1,Aaas,-2.526602768143372,Posterior,1
P_2,Aaas,-0.7896919123776405,Posterior,2
P_3,Aaas,0.5911638678128549,Posterior,3
S_1,Aaas,0.0347669330955373,Somite,1
S_2,Aaas,0.6008657361456298,Somite,2
S_3,Aaas,0.2080787312117902,Somite,3
A_1,Aacs,-1.527877791641561,Anterior,1
A_2,Aacs,-1.236316747493685,Anterior,2
A_3,Aacs,0.1634801175336306,Anterior,3
P_1,Aacs,2.031387071188706,Posterior,1
P_2,Aacs,0.487381003741388,Posterior,2
P_3,Aacs,0.6242129089380636,Posterior,3
S_1,Aacs,0.1018673939194926,Somite,1
S_2,Aacs,-0.0585921874002962,Somite,2
S_3,Aacs,-0.5855417687855631,Somite,3
A_1,Aagab,1.4957166057421758,Anterior,1
A_2,Aagab,0.3360857334938368,Anterior,2
A_3,Aagab,-0.0337031724755881,Anterior,3
P_1,Aagab,-0.1175339299496338,Posterior,1
